epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.1059,1.56381,3.06777,1.21718,0.01711,0.89106,0.60609,0.3707,1.57448,3.16778,1.34359,0.000407801,0.000407801,0.000407801
2,19.2158,1.37639,1.33088,1.10179,0.92601,0.51983,0.68503,0.44715,1.4655,2.28856,1.37313,0.000816306,0.000816306,0.000816306
3,26.255,1.31737,1.10078,1.07152,0.65188,0.67815,0.6944,0.44628,1.42402,1.58587,1.38671,0.00121656,0.00121656,0.00121656
4,33.0135,1.2824,1.03115,1.0603,0.69336,0.68777,0.76114,0.49677,1.3389,1.3799,1.39272,0.00121287,0.00121287,0.00121287
5,39.8372,1.2438,0.97064,1.05479,0.74061,0.77398,0.79346,0.50696,1.30357,1.17766,1.34892,0.0012005,0.0012005,0.0012005
6,46.8036,1.2267,0.92552,1.04276,0.81436,0.80433,0.817,0.53532,1.32052,0.99503,1.28155,0.00118812,0.00118812,0.00118812
7,53.5074,1.20164,0.87818,1.0243,0.7066,0.79346,0.84248,0.54652,1.27708,0.99845,1.28581,0.00117575,0.00117575,0.00117575
8,60.5423,1.19999,0.86591,1.02961,0.8202,0.84173,0.86307,0.54915,1.24916,0.97191,1.26298,0.00116337,0.00116337,0.00116337
9,67.3603,1.19126,0.81283,1.01417,0.91044,0.77185,0.87007,0.57771,1.21241,0.86113,1.21228,0.001151,0.001151,0.001151
10,74.1112,1.15419,0.77338,1.00167,0.91331,0.82183,0.89599,0.57956,1.22855,0.89144,1.21527,0.00113863,0.00113863,0.00113863
11,80.9836,1.15673,0.77696,1.00758,0.83216,0.86022,0.86141,0.5612,1.25892,0.84873,1.24436,0.00112625,0.00112625,0.00112625
12,87.7054,1.13969,0.74621,1.00311,0.89631,0.83296,0.89723,0.58123,1.21064,0.79837,1.23505,0.00111388,0.00111388,0.00111388
13,94.4286,1.15461,0.73621,1.00603,0.84578,0.85625,0.86655,0.56219,1.20927,0.80236,1.19217,0.0011015,0.0011015,0.0011015
14,101.161,1.1321,0.70195,0.98845,0.79169,0.81455,0.81604,0.53625,1.28039,0.99177,1.27548,0.00108913,0.00108913,0.00108913
